,Year,Month,Precipitation_mm,Date,Filename
0,2006,1,21.660831,2006-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
1,2006,2,19.105408,2006-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
2,2006,3,40.086693,2006-03,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
3,2006,4,51.76252,2006-04,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
4,2006,5,62.97753,2006-05,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
5,2006,6,67.95223,2006-06,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
6,2006,7,58.27311,2006-07,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
7,2006,8,43.75144,2006-08,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
8,2006,9,26.122253,2006-09,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
9,2006,10,35.175354,2006-10,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
10,2006,11,23.76508,2006-11,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
11,2006,12,43.058784,2006-12,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
12,2007,1,37.7619,2007-01,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
13,2007,2,24.076,2007-02,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
14,2007,3,14.9233465,2007-03,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
15,2007,4,30.98095,2007-04,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
16,2007,5,41.090805,2007-05,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
17,2007,6,50.721226,2007-06,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
18,2007,7,29.786793,2007-07,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
19,2007,8,99.068954,2007-08,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
20,2007,9,27.356865,2007-09,pr_be-04_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
