,Year,Month,NetRad_Wm-2,Date,Filename
0,2006,1,44.0629,2006-01,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
1,2006,2,78.57772,2006-02,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
2,2006,3,124.54521,2006-03,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
3,2006,4,211.95999,2006-04,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
4,2006,5,213.63235,2006-05,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
5,2006,6,221.07985,2006-06,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
6,2006,7,242.40346,2006-07,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
7,2006,8,219.66068,2006-08,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
8,2006,9,128.09032,2006-09,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
9,2006,10,87.33928,2006-10,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
10,2006,11,48.186237,2006-11,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
11,2006,12,37.10827,2006-12,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20060101-20061231.nc
12,2007,1,41.19413,2007-01,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
13,2007,2,86.447876,2007-02,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
14,2007,3,129.42712,2007-03,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
15,2007,4,164.35071,2007-04,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
16,2007,5,253.96893,2007-05,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
17,2007,6,212.94891,2007-06,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
18,2007,7,237.63786,2007-07,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
19,2007,8,209.05856,2007-08,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
20,2007,9,131.36978,2007-09,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
21,2007,10,87.15368,2007-10,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
22,2007,11,57.053288,2007-11,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
23,2007,12,33.142387,2007-12,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20070101-20071231.nc
24,2008,1,40.811127,2008-01,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
25,2008,2,71.75259,2008-02,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
26,2008,3,106.71907,2008-03,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
27,2008,4,148.84467,2008-04,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
28,2008,5,205.63289,2008-05,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
29,2008,6,217.8238,2008-06,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
30,2008,7,191.42447,2008-07,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
31,2008,8,211.22815,2008-08,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
32,2008,9,138.72444,2008-09,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
33,2008,10,84.02617,2008-10,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
34,2008,11,48.31889,2008-11,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
35,2008,12,32.613625,2008-12,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20080101-20081231.nc
36,2009,1,38.09053,2009-01,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
37,2009,2,79.67975,2009-02,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
38,2009,3,117.82941,2009-03,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
39,2009,4,190.96655,2009-04,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
40,2009,5,230.86694,2009-05,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
41,2009,6,259.60156,2009-06,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
42,2009,7,219.26611,2009-07,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
43,2009,8,201.69266,2009-08,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
44,2009,9,120.279236,2009-09,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
45,2009,10,86.93712,2009-10,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
46,2009,11,42.772346,2009-11,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
47,2009,12,36.78082,2009-12,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20090101-20091231.nc
48,2010,1,41.47967,2010-01,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
49,2010,2,65.59955,2010-02,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
50,2010,3,112.87671,2010-03,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
51,2010,4,154.00352,2010-04,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
52,2010,5,226.86038,2010-05,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
53,2010,6,247.56668,2010-06,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
54,2010,7,211.36926,2010-07,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
55,2010,8,178.55441,2010-08,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
56,2010,9,142.28,2010-09,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
57,2010,10,100.539764,2010-10,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
58,2010,11,46.400635,2010-11,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
59,2010,12,28.35312,2010-12,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20100101-20101231.nc
60,2011,1,42.75359,2011-01,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
61,2011,2,76.33891,2011-02,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
62,2011,3,138.09082,2011-03,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
63,2011,4,191.70166,2011-04,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
64,2011,5,203.38522,2011-05,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
65,2011,6,238.58887,2011-06,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
66,2011,7,239.69412,2011-07,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
67,2011,8,200.67496,2011-08,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
68,2011,9,138.45654,2011-09,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
69,2011,10,82.09932,2011-10,rsds_be-04_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_RMIB-UGent-ALARO-0_v1_day_20110101-20111231.nc
